gene_symbol,protein_function,gbm_evidence,subtype_link,druggable,cancer_relevance,verdict,sources
RPP25L,"Alba-fold paralog of RPP25 that substitutes into the RNase P/MRP ribonucleoprotein complexes, contributing to tRNA 5'-end maturation and rRNA processing.","Direct and specific. SNO 2022 abstract EXTH-61 (Neuro-Oncology): glioblastomas that silence RPP25 by promoter hypermethylation become dependent on RPP25L - 'cell lines that do not express RPP25 (SF295, GB1, LN18) exhibit a rapid reduction in viability upon RPP25L loss', with 'a marked reduction in nascent polypeptide formation', validated 'in glioblastoma patient-derived neurospheres with loss of RPP25 expression'.","none found. RPP25L biology is tRNA/rRNA processing and translation, not mitochondrial or OXPHOS. The paralog RPP25 (a different gene) was linked to GBM metabolism in Front Oncol 2021, but the dominant signal there is glycolytic, not OXPHOS.","None known. Pharos classifies RPP25L as 'Tdark' (no known ligands, drugs or tool compounds). Approval status: none known.",Paralog/collateral-lethality target: RPP25 promoter hypermethylation creates a selective RPP25L dependency. Same class as SMARCA2/4 and PRMT5/MTAP.,STRONG,"['https://academic.oup.com/neuro-oncology/article/24/Supplement_7/vii223/6826803', 'https://pharos.nih.gov/targets/RPP25L', 'https://www.ncbi.nlm.nih.gov/gene/138716', 'https://www.uniprot.org/uniprotkb/Q99JH1/entry']"
BNIP1,"BH3-only Bcl-2 family member that doubles as a syntaxin-18-associated SNARE regulating endoplasmic reticulum membrane fusion and ER morphology, and can trigger apoptosis when de-repressed.",none found,"none found. Despite the BNIP family name, BNIP1 is an ER/SNARE protein, not a mitochondrial protein - unlike BNIP3/BNIP3L which are genuine mitophagy receptors. No OXPHOS or oxidative-metabolism evidence located.","None known. BH3 mimetics (venetoclax etc.) target BCL2/BCL-xL, not BNIP1. Approval status: none known.","Weak and indirect: one cervical cancer study reports BNIP1 inhibits proliferation, migration and invasion and promotes apoptosis via mTOR (PMID 30840260) - i.e. it behaves as a tumour suppressor there, which argues AGAINST inhibiting it.",WEAK,"['https://pmc.ncbi.nlm.nih.gov/articles/PMC514507/', 'https://pubmed.ncbi.nlm.nih.gov/30840260/', 'https://www.genecards.org/card/BNIP1']"
C19orf25,Uncharacterised small protein (CS025) of unknown molecular function; no experimentally established biochemical activity or pathway assignment.,none found,none found,"None known. No inhibitor, drug or tool compound identified; the protein has essentially no functional annotation to design against. Approval status: none known.",none found beyond descriptive expression-atlas entries; no functional cancer study located.,NOVEL,"['https://www.genecards.org/cgi-bin/carddisp.pl?gene=C19orf25', 'https://www.proteinatlas.org/ENSG00000119559-C19orf25/pathology']"
SCNM1,"Zinc-finger component of the minor (U12-dependent) spliceosome, required for correct splicing of U12-type introns.",none found,"none found. No mitochondrial, OXPHOS or oxidative-metabolism role reported.",None known specifically for SCNM1. Approval status: none known.,"Hepatocellular carcinoma: Ann Surg Oncol 2025 (PMID 40172715) reports SCNM1 is elevated via chromosome 1q amplification and that 'via its splicing activity, SCNM1 promotes tumor growth, suppresses apoptosis', with high expression an independent poor-prognosis factor. The authors propose it as a cancer-specific therapeutic target.",MODERATE,"['https://link.springer.com/article/10.1245/s10434-025-17108-z', 'https://pubmed.ncbi.nlm.nih.gov/40172715/']"
NUDT16L1,"Also called TIRR; a catalytically inactive Nudix-fold protein that binds and masks the 53BP1 tandem Tudor domain, restraining 53BP1 recruitment to DNA double-strand breaks and controlling repair pathway choice.",none found,"Indirect but genuinely mitochondrial: Redox Biology 2024, 'Overexpression of NUDT16L1 sustains proper function of mitochondria and leads to ferroptosis insensitivity in colorectal cancer'. This is colorectal, not GBM, so the MTC link is by analogy only.","No confirmed inhibitor or tool compound. The TIRR-53BP1 Tudor interface has been structurally characterised (Nature 2017; Nat Commun 2018) and is discussed as a druggable protein-protein interface, but no named compound confirmed. Approval status: none known.","Two threads: DNA-repair regulation via 53BP1, directly relevant to radiotherapy and PARP-inhibitor response - germane to GBM given radiotherapy is standard of care; and mitochondrial fitness / ferroptosis resistance in colorectal cancer.",MODERATE,"['https://www.nature.com/articles/nature21358', 'https://www.nature.com/articles/s41467-018-04557-2', 'https://www.sciencedirect.com/science/article/pii/S2213231724003367']"
NR2C2AP,Small nuclear protein (TRA16) that binds the orphan nuclear receptor TR4/NR2C2 and represses its transactivation activity.,none found,none found. No mitochondrial or OXPHOS role reported.,None known. Approval status: none known.,One study only: TRA16 promotes non-small cell lung carcinoma by activating estrogen receptor beta and blocking TR2 (PMID 23129017). Otherwise only descriptive expression-atlas data.,WEAK,"['https://pubmed.ncbi.nlm.nih.gov/23129017/', 'https://www.genecards.org/card/NR2C2AP']"
TRAPPC2L,Conserved TRAPP-complex-interacting protein involved in ER-to-Golgi and intra-Golgi vesicle tethering; biallelic loss-of-function variants cause a neurodevelopmental disorder with episodic rhabdomyolysis.,none found,none found. A membrane-trafficking/tethering factor; no direct mitochondrial or OXPHOS function established.,None known. Approval status: none known.,none found. No functional cancer study located for TRAPPC2L specifically.,NOVEL,"['https://pubmed.ncbi.nlm.nih.gov/19416478/', 'https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC2L']"
ATP5MC1,Subunit c isoform P1 of the F0 rotor c-ring of mitochondrial ATP synthase (complex V); the c-ring conducts protons across the inner membrane and drives rotary ATP synthesis.,none found for ATP5MC1 specifically. Human Protein Atlas does not report it as prognostic in glioma.,"Strong on first principles and by gene identity: this is core OXPHOS machinery (complex V, the terminal step of oxidative phosphorylation), directly consistent with an OXPHOS-high / MTC subtype. Supported by gene annotation rather than by a GBM-subtype-specific publication.","Yes, at the complex level. Oligomycin binds the c-ring of mitochondrial ATP synthase (PNAS 2012), with the binding site formed by the c-subunit ring. Oligomycin is a research tool compound only (too toxic for systemic human use). Bedaquiline targets the mycobacterial c-ring, not the human enzyme. Approval status: no approved drug against the human ATP synthase c-subunit.","ATP synthase inhibition is an established anticancer strategy for OXPHOS-dependent tumours, but no ATP5MC1-specific cancer study was found - the evidence is for the complex, not this subunit gene.",MODERATE,"['https://www.pnas.org/doi/10.1073/pnas.1207912109', 'https://www.ncbi.nlm.nih.gov/gene/516']"
UNC50,"Conserved multi-pass Golgi / inner-nuclear-membrane protein that regulates vesicular trafficking, required for trafficking of nicotinic acetylcholine receptors.",none found,none found. A secretory-pathway/trafficking protein; no mitochondrial or OXPHOS role reported.,None known. Approval status: none known.,"One mechanistic study: 'UNC50 Prompts G1/S Transition and Proliferation in HCC by Regulation of Epidermal Growth Factor Receptor Trafficking' (PLOS One 2015, PMID 25738771). The EGFR-trafficking mechanism is conceptually interesting for GBM given EGFR amplification, but this connection is entirely unpublished in glioma.",MODERATE,"['https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0119338', 'https://rupress.org/jcb/article/216/10/3249/38953/']"
MZT2A,"Mitotic-spindle organizing protein 2A (MOZART2), a small component of the gamma-tubulin ring complex that regulates microtubule nucleation and mitotic spindle assembly.",none found,none found. Centrosome/spindle biology; no mitochondrial or OXPHOS link reported.,"None known for MZT2A itself. Microtubule-targeting agents act on tubulin, not on this gamma-TuRC accessory subunit. Approval status: none known.","Reasonably supported outside the CNS: NSCLC - MZT2A promotes viability and invasion by increasing Akt phosphorylation and predicts poor prognosis (Cancer Sci 2021, PMID 33754417); clear-cell renal cell carcinoma prognostic biomarker; lung adenocarcinoma cisplatin resistance via NEMO ubiquitination and NF-kB.",MODERATE,"['https://pubmed.ncbi.nlm.nih.gov/33754417/', 'https://www.sciencedirect.com/science/article/pii/S2405844024117264']"
C1QTNF4,"Secreted C1q/TNF-related protein 4 (CTRP4), a two-C1q-domain adipokine/cytokine that signals through nucleolin and modulates NF-kB and STAT3 pathways.",none found,"Partial and neural rather than oligodendrocytic. Human Protein Atlas classifies C1QTNF4 as tissue-enriched (Brain), protein detected in astrocytes and subsets of neurons. In CNS disease models CTRP4 signalling ameliorates autoimmune encephalomyelitis by suppressing Th17 differentiation. No oligodendrocyte- or myelin-specific evidence found.",No small-molecule inhibitor known. Recombinant CTRP4 protein is used as a preclinical agonist tool. Approval status: none known.,Limited: identified as a cytokine that stimulates STAT3 and NF-kB and promotes cell survival in human cancer cells. No glioma-specific work located.,WEAK,"['https://www.proteinatlas.org/ENSG00000172247-C1QTNF4/brain', 'https://jneuroinflammation.biomedcentral.com/articles/10.1186/s12974-021-02167-2']"
PISD,"Mitochondrial phosphatidylserine decarboxylase, an inner-membrane enzyme converting phosphatidylserine to phosphatidylethanolamine, supplying the PE required for cristae architecture.","none found. IMPORTANT NEGATIVE: the 2026 paper on targeting phosphatidylserine synthesis in oesophageal carcinoma and glioblastoma (PMID 42511570) concerns PTDSS1, a different enzyme, not PISD. Do not attribute that GBM finding to PISD.","none found for the OLIGO programme. No myelin, oligodendrocyte or CNS-ECM evidence located. PISD is a mitochondrial enzyme, so its biology fits the MTC subtype better than OLIGO - a possible subtype-assignment mismatch worth flagging.",No selective PISD inhibitor confirmed. Approval status: none known.,Moderate: targeting mitochondrial phosphatidylethanolamine alters mitochondrial metabolism and proliferation in hepatocellular carcinoma; PISD promotes ferroptosis through STAT3/GPX4 in gastric cancer.,MODERATE,"['https://pmc.ncbi.nlm.nih.gov/articles/PMC12288522/', 'https://www.genecards.org/cgi-bin/carddisp.pl?gene=PISD']"
DCTN1,"p150Glued, the largest subunit of the dynactin complex, linking cargo to cytoplasmic dynein for retrograde microtubule transport; mutations cause ALS, Perry syndrome and distal SMA.","Glioma but not GBM, and directionally unhelpful. Technol Cancer Res Treat 2021 (PMID 33896271): 'high expressions of DCTN1, DCTN3, DCTN4, and DCTN6 were significantly (P<0.05) related to the favorable OS of LGG patients'. High expression predicting BETTER survival argues against DCTN1 being an oncogenic dependency.","Partial: dynactin/p150Glued is essential for neuronal axonal transport and is a bona fide CNS/neurodegeneration gene. Neural biology, but no oligodendrocyte-, myelin- or CNS-ECM-specific role found.","No direct dynactin/DCTN1 inhibitor confirmed. Ciliobrevin and dynapyrazole inhibit cytoplasmic dynein, not DCTN1, and are preclinical tool compounds only. Approval status: none known.",Limited to the LGG prognostic association above; no functional oncogenic study located.,MODERATE,"['https://journals.sagepub.com/doi/10.1177/15330338211010143', 'https://molecularneurodegeneration.biomedcentral.com/articles/10.1186/s13024-018-0242-z']"
